,2017 Industry Code List,,,
,,,,
,Industry 2017 Description,,2017 Census Code,2017 NAICS Code
,,,,
,The 2017 census industry classification list has 270 codes including 7 military codes. ,,,
,,,,
"Agriculture, Forestry, Fishing, and Hunting, and Mining",,,0170-0490,21-Nov
,,,,
,"Agriculture, Forestry, Fishing, and Hunting",,0170-0290,11
,,,,
,Crop production  ,,170,111
,Animal production and aquaculture,,180,112
,Forestry except logging ,,190,"1131, 1132"
,Logging ,,270,1133
,"Fishing, hunting and trapping ",,280,114
,Support activities for agriculture and forestry ,,290,115
,,,,
,"Mining, Quarrying, and Oil and Gas Extraction",,0370-0490,21
,,,,
,Oil and gas extraction ,,370,211
,Coal mining ,,380,2121
,Metal ore mining ,,390,2122
,Nonmetallic mineral mining and quarrying ,,470,2123
,Not specified type of mining,,480,Part of 21
,Support activities for mining ,,490,213
,,,,
Construction,,,770,23
,,,,
,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),,770,23
,,,,
Manufacturing,,,1070-3990,31-33
,,,,
,"Animal food, grain and oilseed milling ",,1070,"3111, 3112"
,Sugar and confectionery products ,,1080,3113
,Fruit and vegetable preserving and specialty food manufacturing              ,,1090,3114
,Dairy product manufacturing,,1170,3115
,Animal slaughtering and processing ,,1180,3116
,Retail bakeries ,,1190,311811
,"Bakeries and tortilla manufacturing, except retail bakeries ",,1270,3118 exc. 311811
,"Seafood and other miscellaneous foods, n.e.c. ",,1280,"3117, 3119"
,Not specified food industries,,1290,Part of 311
,Beverage manufacturing,,1370,3121
,Tobacco manufacturing,,1390,3122
,"Fiber, yarn, and thread mills ",,1470,3131
,"Fabric mills, except knitting mills",,1480,3132 exc. 31324
,Textile and fabric finishing and fabric coating mills ,,1490,3133
,Carpet and rug mills,,1570,31411
,"Textile product mills, except carpet and rug",,1590,314 exc. 31411
,"Knitting fabric mills, and apparel knitting mills ",,1670,"31324, 3151"
,"Cut and sew, and apparel accessories and other apparel manufacturing",,1691,"3152, 3159"
,Footwear manufacturing,,1770,3162
,"Leather and hide tanning and finishing, and other leather and allied product manufacturing",,1790,"3161, 3169"
,"Pulp, paper, and paperboard mills ",,1870,3221
,Paperboard container manufacturing,,1880,32221
,Miscellaneous paper and pulp products  ,,1890,"32222,32223, 32229"
,Printing and related support activities ,,1990,3231
,Petroleum refining ,,2070,32411
,Miscellaneous petroleum and coal products ,,2090,"32412, 32419"
,"Resin, synthetic rubber, and fibers and filaments manufacturing   ",,2170,3252
,Agricultural chemical manufacturing  ,,2180,3253
,Pharmaceutical and medicine manufacturing,,2190,3254
,"Paint, coating, and adhesive manufacturing ",,2270,3255
,"Soap, cleaning compound, and cosmetics manufacturing ",,2280,3256
,Industrial and miscellaneous chemicals ,,2290,"3251, 3259"
,Plastics product manufacturing ,,2370,3261
,Tire manufacturing ,,2380,32621
,"Rubber products, except tires, manufacturing ",,2390,"32622, 32629"
,"Pottery, ceramics, and plumbing fixture manufacturing  ",,2470,32711
,Clay building material and refractories manufacturing,,2480,327120
,Glass and glass product manufacturing ,,2490,3272
,"Cement, concrete, lime, and gypsum product manufacturing ",,2570,"3273, 3274"
,Miscellaneous nonmetallic mineral product manufacturing ,,2590,3279
,Iron and steel mills and steel product manufacturing  ,,2670,"3311, 3312"
,Aluminum production and processing  ,,2680,3313
,Nonferrous metal (except aluminum) production and processing ,,2690,3314
,Foundries ,,2770,3315
,Metal forgings and stampings ,,2780,3321
,Cutlery and hand tool manufacturing  ,,2790,3322
,"Structural metals, and boiler, tank, and shipping container manufacturing ",,2870,"3323, 3324"
,"Machine shops; turned product; screw, nut, and bolt manufacturing  ",,2880,3327
,"Coating, engraving, heat treating, and allied activities ",,2890,3328
,Ordnance ,,2970,"332992, 332993, 332994, 332996"
,Miscellaneous fabricated metal products manufacturing             ,,2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332996"
,Not specified metal industries,,2990,Part of 331 and 332
,Agricultural implement manufacturing ,,3070,33311
,"Construction, and mining and oil and gas field machinery manufacturing ",,3080,"33312, 33313"
,Commercial and service industry machinery manufacturing,,3095,3333
,Metalworking machinery manufacturing,,3170,3335
,"Engine, turbine, and power transmission equipment manufacturing",,3180,3336
,"Machinery manufacturing, n.e.c. or not specified",,3291,"3332, 3334, 3339, Part of 333"
,Computer and peripheral equipment manufacturing,,3365,3341
,"Communications, audio, and video equipment manufacturing",,3370,"3342, 3343"
,"Navigational, measuring, electromedical, and control instruments manufacturing",,3380,3345
,"Electronic component and product manufacturing, n.e.c. ",,3390,"3344, 3346"
,Household appliance manufacturing ,,3470,3352
